Label.ID,Label.Name
1,Unlabeled
2,aals
3,ahls
5,calcarine
6,central
7,central_insular
8,cingulate
9,circular
10,collateral
12,first_transverse
13,Heschls
14,inferior_frontal
15,5th Ventricle
16,intraparietal
17,primary_inter
18,lateral_occipital
19,occ_temporal
20,olfactory
21,par_occipital
22,pals
24,phls
25,postcentral
26,precentral
27,subparietal
28,superior_frontal
29,superior_temporal
33,Right Amygdala Anterior
34,Left Amygdala Anterior
42,Right Cerebral Exterior
43,Left Cerebral Exterior
53,Right Lesion
54,Left Lesion
63,Right vessel
64,Left vessel
65,Left Insula
66,Right Insula
67,Left Operculum
68,Right Operculum
70,Basal Forebrain
74,Vitamin E Tablet
80,frontomarginal
81,inferior_rostral
82,inferior_temporal
83,lateral_orbital
84,superior_rostral
85,lateral
86,anterior_occipital
87,lhos
88,mhos
89,superior_vermal_sulcus
90,central_vermal_sulcus
91,inferior_vermal_sulcus
92,lateral_vermal_sulcus
93,thos
97,RED
98,YELLOW
99,CYAN
